(
(1.0132E-001 ((1.300000E+003  3.785208E+001)
			  (1.439000E+003  7.290101E+001)
			  (1.440000E+003  7.321441E+001)
			  (1.441000E+003  7.358002E+001)
			  (1.442000E+003  7.393463E+001)
			  (1.443000E+003  7.428684E+001)
			  (1.444000E+003  7.463840E+001)
			  (1.445000E+003  7.495988E+001)
			  (1.446000E+003  7.533379E+001)
			  (1.447000E+003  7.569666E+001)
			  (1.448000E+003  7.605714E+001)
			  (1.449000E+003  7.641696E+001)
			  (1.450000E+003  7.674671E+001)
			  (1.451000E+003  7.712912E+001)
			  (1.452000E+003  7.750044E+001)
			  (1.453000E+003  7.786937E+001)
			  (1.454000E+003  7.823765E+001)
			  (1.455000E+003  7.857586E+001)
			  (1.456000E+003  7.896695E+001)
			  (1.457000E+003  7.934692E+001)
			  (1.458000E+003  7.972450E+001)
			  (1.459000E+003  8.010143E+001)
			  (1.460000E+003  8.044830E+001)
			  (1.461000E+003  8.084827E+001)
			  (1.462000E+003  8.123708E+001)
			  (1.463000E+003  8.162350E+001)
			  (1.464000E+003  8.200928E+001)
			  (1.465000E+003  8.236502E+001)
			  (1.466000E+003  8.277406E+001)
			  (1.467000E+003  8.317192E+001)
			  (1.468000E+003  8.356739E+001)
			  (1.469000E+003  8.396221E+001)
			  (1.470000E+003  8.432702E+001)
			  (1.471000E+003  8.474535E+001)
			  (1.472000E+003  8.515246E+001)
			  (1.473000E+003  8.555718E+001)
			  (1.474000E+003  8.596126E+001)
			  (1.475000E+003  8.633534E+001)
			  (1.476000E+003  8.676317E+001)
			  (1.477000E+003  8.717974E+001)
			  (1.478000E+003  8.759392E+001)
			  (1.479000E+003  8.800746E+001)
			  (1.480000E+003  8.839104E+001)
			  (1.481000E+003  8.882858E+001)
			  (1.482000E+003  8.925483E+001)
			  (1.483000E+003  8.967867E+001)
			  (1.484000E+003  9.010190E+001)
			  (1.485000E+003  9.049519E+001)
			  (1.486000E+003  9.094266E+001)
			  (1.487000E+003  9.137880E+001)
			  (1.488000E+003  9.181254E+001)
			  (1.489000E+003  9.224567E+001)
			  (1.490000E+003  9.264890E+001)
			  (1.491000E+003  9.310652E+001)
			  (1.492000E+003  9.355278E+001)
			  (1.493000E+003  9.399664E+001)
			  (1.494000E+003  9.443989E+001)
			  (1.495000E+003  9.485328E+001)
			  (1.496000E+003  9.532128E+001)
			  (1.497000E+003  9.577789E+001)
			  (1.498000E+003  9.623209E+001)
			  (1.499000E+003  9.668570E+001)
			  (1.500000E+003  2.200000E-007)))
(2.2292E+002 ((1.300000E+003  3.785208E+001)
			  (1.301000E+003  3.804757E+001)
			  (1.302000E+003  3.823320E+001)
			  (1.303000E+003  3.841657E+001)
			  (1.304000E+003  3.859921E+001)
			  (1.305000E+003  3.875296E+001)
			  (1.306000E+003  3.895283E+001)
			  (1.307000E+003  3.914281E+001)
			  (1.308000E+003  3.933052E+001)
			  (1.309000E+003  3.951750E+001)
			  (1.310000E+003  3.967550E+001)
			  (1.311000E+003  3.987987E+001)
			  (1.312000E+003  4.007429E+001)
			  (1.313000E+003  4.026644E+001)
			  (1.314000E+003  4.045786E+001)
			  (1.315000E+003  4.062023E+001)
			  (1.316000E+003  4.082919E+001)
			  (1.317000E+003  4.102816E+001)
			  (1.318000E+003  4.122485E+001)
			  (1.319000E+003  4.142082E+001)
			  (1.320000E+003  4.158766E+001)
			  (1.321000E+003  4.180132E+001)
			  (1.322000E+003  4.200495E+001)
			  (1.323000E+003  4.220629E+001)
			  (1.324000E+003  4.240691E+001)
			  (1.325000E+003  4.257833E+001)
			  (1.326000E+003  4.279680E+001)
			  (1.327000E+003  4.300520E+001)
			  (1.328000E+003  4.321130E+001)
			  (1.329000E+003  4.341668E+001)
			  (1.330000E+003  4.359279E+001)
			  (1.331000E+003  4.381618E+001)
			  (1.332000E+003  4.402946E+001)
			  (1.333000E+003  4.424044E+001)
			  (1.334000E+003  4.445069E+001)
			  (1.335000E+003  4.463160E+001)
			  (1.336000E+003  4.486003E+001)
			  (1.337000E+003  4.507830E+001)
			  (1.338000E+003  4.529427E+001)
			  (1.339000E+003  4.550951E+001)
			  (1.340000E+003  4.569534E+001)
			  (1.341000E+003  4.592893E+001)
			  (1.342000E+003  4.615231E+001)
			  (1.343000E+003  4.637338E+001)
			  (1.344000E+003  4.659372E+001)
			  (1.345000E+003  4.678460E+001)
			  (1.346000E+003  4.702346E+001)
			  (1.347000E+003  4.725207E+001)
			  (1.348000E+003  4.747837E+001)
			  (1.349000E+003  4.770394E+001)
			  (1.350000E+003  4.789997E+001)
			  (1.351000E+003  4.814423E+001)
			  (1.352000E+003  4.837819E+001)
			  (1.353000E+003  4.860984E+001)
			  (1.354000E+003  4.884075E+001)
			  (1.355000E+003  4.904208E+001)
			  (1.356000E+003  4.929186E+001)
			  (1.357000E+003  4.953130E+001)
			  (1.358000E+003  4.976841E+001)
			  (1.359000E+003  5.000480E+001)
			  (1.360000E+003  5.021155E+001)
			  (1.361000E+003  5.046698E+001)
			  (1.362000E+003  5.071202E+001)
			  (1.363000E+003  5.095473E+001)
			  (1.364000E+003  5.119672E+001)
			  (1.365000E+003  5.140902E+001)
			  (1.366000E+003  5.167022E+001)
			  (1.367000E+003  5.192100E+001)
			  (1.368000E+003  5.216944E+001)
			  (1.369000E+003  5.241716E+001)
			  (1.370000E+003  5.263515E+001)
			  (1.371000E+003  5.290226E+001)
			  (1.372000E+003  5.315891E+001)
			  (1.373000E+003  5.341321E+001)
			  (1.374000E+003  5.366680E+001)
			  (1.375000E+003  5.389061E+001)
			  (1.376000E+003  5.416377E+001)
			  (1.377000E+003  5.442641E+001)
			  (1.378000E+003  5.468672E+001)
			  (1.379000E+003  5.494631E+001)
			  (1.380000E+003  5.517609E+001)
			  (1.381000E+003  5.545542E+001)
			  (1.382000E+003  5.572422E+001)
			  (1.383000E+003  5.599066E+001)
			  (1.384000E+003  5.625639E+001)
			  (1.385000E+003  5.649227E+001)
			  (1.386000E+003  5.677794E+001)
