"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
3.000000000000e+02;3.000000000000e+02;1.013250000000e-01;8.787557045422e-01;1.137972698022e+00;2.801339832228e+01;6.842394149233e+00;1.923213091130e+00;-8.711734265985e+01;1.039502437727e+00;7.427012462273e-01;1.399623930897e+00;3.530198508616e+02;1.039502437726e+00;7.427005833859e-01;1.399625179913e+00;3.530191446885e+02;1.666684487803e-04;1.727383498815e-09;5.949597245758e-06;1.007852674681e+02
3.200000000000e+02;3.200000000000e+02;1.013250000000e-01;9.373394303645e-01;1.066849390526e+00;2.801339657647e+01;6.909445284763e+00;2.270174737082e+01;-7.227484543023e+01;1.038526796038e+00;7.417255860422e-01;1.400149618109e+00;3.646658090166e+02;1.038526796044e+00;7.417249232007e-01;1.400150869237e+00;3.646650707686e+02;5.820775633851e+02;6.032762561721e-03;2.077854022928e+01;1.007852674681e+02
3.400000000000e+02;3.400000000000e+02;1.013250000000e-01;9.959231561344e-01;1.004093532559e+00;2.801339503682e+01;6.972400327627e+00;4.347054646532e+01;-5.744208338580e+01;1.038493003354e+00;7.416917770453e-01;1.400167880371e+00;3.758913738528e+02;1.038493003365e+00;7.416911142038e-01;1.400169131573e+00;3.758906047032e+02;1.163882244463e+03;1.206269691932e-02;4.154733932378e+01;1.007852674681e+02
3.600000000000e+02;3.600000000000e+02;1.013250000000e-01;1.054506881861e+00;9.483105489414e-01;2.801339366771e+01;7.031776113702e+00;6.424648323454e+01;-4.260218366664e+01;1.039213860930e+00;7.424126201152e-01;1.399779358234e+00;3.867353748243e+02;1.039213860946e+00;7.424119572737e-01;1.399780607874e+00;3.867345758221e+02;1.745886876079e+03;1.809470360232e-02;6.232327609301e+01;1.007852674681e+02
3.800000000000e+02;3.800000000000e+02;1.013250000000e-01;1.113090607551e+00;8.983994593217e-01;2.801339244123e+01;7.087996772569e+00;8.504318046959e+01;-2.774152348166e+01;1.040548806436e+00;7.437475526266e-01;1.399061822470e+00;3.972309846485e+02;1.040548806458e+00;7.437468897851e-01;1.399063069228e+00;3.972301567381e+02;2.328473078934e+03;2.413273780023e-02;8.311997332805e+01;1.007852674681e+02
4.000000000000e+02;4.000000000000e+02;1.013250000000e-01;1.171674333211e+00;8.534794794553e-01;2.801339133525e+01;7.141414792177e+00;1.058717982041e+02;-1.284894279721e+01;1.042390286585e+00;7.455890210580e-01;1.398076228518e+00;4.074068207220e+02;1.042390286612e+00;7.455883582164e-01;1.398077471319e+00;4.074059647593e+02;2.911953483515e+03;3.018003967488e-02;1.039485910626e+02;1.007852674681e+02
4.200000000000e+02;4.200000000000e+02;1.013250000000e-01;1.230258058845e+00;8.128375935525e-01;2.801339033194e+01;7.192326388330e+00;1.267415960796e+02;2.084818028205e+00;1.044654558879e+00;7.478532827221e-01;1.396870994637e+00;4.172877896736e+02;1.044654558912e+00;7.478526198805e-01;1.396872232608e+00;4.172869064385e+02;3.496587483866e+03;3.623929763548e-02;1.248183889381e+02;1.007852674681e+02
4.400000000000e+02;4.400000000000e+02;1.013250000000e-01;1.288841784457e+00;7.758904250778e-01;2.801338941684e+01;7.240982937759e+00;1.476603423383e+02;1.706752723683e+01;1.047275350540e+00;7.504740646877e-01;1.395485067130e+00;4.268957430301e+02;1.047275350579e+00;7.504734018461e-01;1.395486299553e+00;4.268948332371e+02;4.082592694865e+03;4.231276708401e-02;1.457371351967e+02;1.007852674681e+02
4.600000000000e+02;4.600000000000e+02;1.013250000000e-01;1.347425510049e+00;7.421560542991e-01;2.801338857804e+01;7.287599629951e+00;1.686346161223e+02;3.210576397078e+01;1.050199403576e+00;7.533981088370e-01;1.393950145691e+00;4.362499922061e+02;1.050199403621e+00;7.533974459954e-01;1.393951371979e+00;4.362490565126e+02;4.670153420655e+03;4.840235818364e-02;1.667114089808e+02;1.007852674681e+02
4.800000000000e+02;4.800000000000e+02;1.013250000000e-01;1.406009235625e+00;7.112328814506e-01;2.801338780570e+01;7.332362115103e+00;1.896700341980e+02;4.720514499642e+01;1.053383291028e+00;7.565819881060e-01;1.392292319389e+00;4.453677174346e+02;1.053383291078e+00;7.565813252644e-01;1.392293539064e+00;4.453667564479e+02;5.259427005959e+03;5.450970168501e-02;1.877468270565e+02;1.007852674681e+02
5.000000000000e+02;5.000000000000e+02;1.013250000000e-01;1.464592961187e+00;6.827835627377e-01;2.801338709157e+01;7.375431682796e+00;2.107714232664e+02;6.237049701481e+01;1.056791106142e+00;7.599897956535e-01;1.390533283718e+00;4.542642958044e+02;1.056791106198e+00;7.599891328118e-01;1.390534496389e+00;4.542633100881e+02;5.850548663086e+03;6.063619895420e-02;2.088482161249e+02;1.007852674681e+02
