"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
5.200000000000e+02;5.200000000000e+02;1.013250000000e-01;1.523176686737e+00;6.565226534175e-01;2.801338642873e+01;7.416949346253e+00;2.319429525100e+02;7.760598920825e+01;1.060392761280e+00;7.635914437684e-01;1.388691256212e+00;4.629535669150e+02;1.060392761341e+00;7.635907809267e-01;1.388692461564e+00;4.629525569936e+02;6.443635185008e+03;6.678306045579e-02;2.300197453684e+02;1.007852674681e+02
5.400000000000e+02;5.400000000000e+02;1.013250000000e-01;1.581760412275e+00;6.322069968623e-01;2.801338581129e+01;7.457039099694e+00;2.531882366838e+02;9.291523633207e+01;1.064162719396e+00;7.673613953430e-01;1.386781672696e+00;4.714480499265e+02;1.064162719463e+00;7.673607325013e-01;1.386782870475e+00;4.714470162897e+02;7.038787833312e+03;7.295133568413e-02;2.512650295423e+02;1.007852674681e+02
5.600000000000e+02;5.600000000000e+02;1.013250000000e-01;1.640344137804e+00;6.096281731094e-01;2.801338523424e+01;7.495810542777e+00;2.745104171171e+02;1.083013797152e+02;1.068079036788e+00;7.712777066216e-01;1.384817722098e+00;4.797591223688e+02;1.068079036861e+00;7.712770437798e-01;1.384818912107e+00;4.797580654754e+02;7.636094607305e+03;7.914193668076e-02;2.725872099755e+02;1.007852674681e+02
5.800000000000e+02;5.800000000000e+02;1.013250000000e-01;1.698927863324e+00;5.886065097806e-01;2.801338469328e+01;7.533361014858e+00;2.959122259542e+02;1.237671515023e+02;1.072122632794e+00;7.753212968953e-01;1.382810761277e+00;4.878971685920e+02;1.072122632872e+00;7.753206340535e-01;1.382811943362e+00;4.878960888729e+02;8.235632043646e+03;8.535565668617e-02;2.939890188127e+02;1.007852674681e+02
6.000000000000e+02;6.000000000000e+02;1.013250000000e-01;1.757511588836e+00;5.689862908170e-01;2.801338418468e+01;7.569777345468e+00;3.173960375489e+02;1.393149260470e+02;1.076276726959e+00;7.794753856723e-01;1.380770639769e+00;4.958717039074e+02;1.076276727043e+00;7.794747228305e-01;1.380771813820e+00;4.958706017682e+02;8.837466656053e+03;9.159318506119e-02;3.154728304074e+02;1.007852674681e+02
6.200000000000e+02;6.200000000000e+02;1.013250000000e-01;1.816095314342e+00;5.506318925568e-01;2.801338370522e+01;7.605137301335e+00;3.389639099103e+02;1.549467613583e+02;1.080526401193e+00;7.837250548259e-01;1.378705956303e+00;5.036914791084e+02;1.080526401282e+00;7.837243919841e-01;1.378707122240e+00;5.036903549322e+02;9.441656096360e+03;9.785511932038e-02;3.370407027688e+02;1.007852674681e+02
6.400000000000e+02;6.400000000000e+02;1.013250000000e-01;1.874679039842e+00;5.334246442975e-01;2.801338325210e+01;7.639510791241e+00;3.606176183782e+02;1.706644327761e+02;1.084858256151e+00;7.880569049829e-01;1.376624263160e+00;5.113645690385e+02;1.084858256246e+00;7.880562421411e-01;1.376625420936e+00;5.113634231875e+02;1.004825009787e+04;1.041419749092e-01;3.586944112367e+02;1.007852674681e+02
6.600000000000e+02;6.600000000000e+02;1.013250000000e-01;1.933262765337e+00;5.172602596655e-01;2.801338282287e+01;7.672960875989e+00;3.823586831755e+02;1.864694605233e+02;1.089260139379e+00;7.924587836632e-01;1.374532230362e+00;5.188984480939e+02;1.089260139480e+00;7.924581208214e-01;1.374533379956e+00;5.188972809116e+02;1.065729124720e+04;1.104541932033e-01;3.804354760339e+02;1.007852674681e+02
6.800000000000e+02;6.800000000000e+02;1.013250000000e-01;1.991846490827e+00;5.020467212735e-01;2.801338241535e+01;7.705544620295e+00;4.041883920984e+02;2.023631323961e+02;1.093720928578e+00;7.969195685453e-01;1.372435778650e+00;5.263000549589e+02;1.093720928685e+00;7.969189057035e-01;1.372436920065e+00;5.262988667714e+02;1.126881561989e+04;1.167921480967e-01;4.022651849568e+02;1.007852674681e+02
7.000000000000e+02;7.000000000000e+02;1.013250000000e-01;2.050430216313e+00;4.877025280081e-01;2.801338202766e+01;7.737313815513e+00;4.261078193169e+02;2.183465225646e+02;1.098230357584e+00;8.014289934432e-01;1.370340188050e+00;5.335758484086e+02;1.098230357697e+00;8.014283306014e-01;1.370341321308e+00;5.335746395266e+02;1.188285330711e+04;1.231561514597e-01;4.241846121754e+02;1.007852674681e+02
7.200000000000e+02;7.200000000000e+02;1.013250000000e-01;2.109013941795e+00;4.741552344358e-01;2.801338165810e+01;7.768315596111e+00;4.481178410421e+02;2.344205072397e+02;1.102778875695e+00;8.059775076386e-01;1.368250187187e+00;5.407318556623e+02;1.102778875813e+00;8.059768447967e-01;1.368251312329e+00;5.407306263816e+02;1.249942885450e+04;1.295464576882e-01;4.461946339006e+02;1.007852674681e+02
7.400000000000e+02;7.400000000000e+02;1.013250000000e-01;2.167597667273e+00;4.613402270625e-01;2.801338130518e+01;7.798592968178e+00;4.702191486522e+02;2.505857777998e+02;1.107357533253e+00;8.105561614579e-01;1.366170027332e+00;5.477737144854e+02;1.107357533378e+00;8.105554986160e-01;1.366171144416e+00;5.477724650887e+02;1.311856162992e+04;1.359632675144e-01;4.682959415107e+02;1.007852674681e+02
7.600000000000e+02;7.600000000000e+02;1.013250000000e-01;2.226181392749e+00;4.491996938153e-01;2.801338096756e+01;7.828185264670e+00;4.924122597468e+02;2.668428518443e+02;1.111957888015e+00;8.151565126426e-01;1.364103544251e+00;5.547067100223e+02;1.111957888146e+00;8.151558498007e-01;1.364104653349e+00;5.547054407799e+02;1.374026613309e+04;1.424067312159e-01;4.904890526053e+02;1.007852674681e+02
7.800000000000e+02;7.800000000000e+02;1.013250000000e-01;2.284765118221e+00;4.376817520649e-01;2.801338064406e+01;7.857128539308e+00;5.146975274998e+02;2.831920825472e+02;1.116571928105e+00;8.197705493051e-01;1.362054210232e+00;5.615358071623e+02;1.116571928241e+00;8.197698864632e-01;1.362055311429e+00;5.615345183333e+02;1.436455225762e+04;1.488769513322e-01;5.127743203582e+02;1.007852674681e+02
8.000000000000e+02;8.000000000000e+02;1.013250000000e-01;2.343348843692e+00;4.267397074456e-01;2.801338033362e+01;7.885455908808e+00;5.370751486099e+02;2.996336666073e+02;1.121192008283e+00;8.243906261941e-01;1.360025178184e+00;5.682656791050e+02;1.121192008426e+00;8.243899633522e-01;1.360026271578e+00;5.682643709376e+02;1.499142551370e+04;1.553739849719e-01;5.351519414684e+02;1.007852674681e+02
8.200000000000e+02;8.200000000000e+02;1.013250000000e-01;2.401932569160e+00;4.163314211397e-01;2.801338003527e+01;7.913197851425e+00;5.595451700876e+02;3.161676510349e+02;1.125810796956e+00;8.290094117064e-01;1.358019319273e+00;5.749007326732e+02;1.125810797105e+00;8.290087488645e-01;1.358020404969e+00;5.748994054061e+02;1.562088721826e+04;1.618978457839e-01;5.576219629460e+02;1.007852674681e+02
