"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
3.000000000000e+02;3.000000000000e+02;2.026500000000e-01;4.393780036986e-01;2.275944611660e+00;2.801339832228e+01;6.636666884276e+00;1.923213091130e+00;-8.711734265985e+01;1.039502437727e+00;7.427012462273e-01;1.399623930897e+00;3.530198508616e+02;1.039502437727e+00;7.427005833859e-01;1.399625180161e+00;3.530192055522e+02;1.666684529292e-04;1.727383541815e-09;5.949597393862e-06;1.007852674681e+02
3.200000000000e+02;3.200000000000e+02;2.026500000000e-01;4.686699062512e-01;2.133697911177e+00;2.801339657647e+01;6.703718038516e+00;2.270174737082e+01;-7.227484543023e+01;1.038526796038e+00;7.417255860422e-01;1.400149618109e+00;3.646658090166e+02;1.038526796035e+00;7.417249232007e-01;1.400150869490e+00;3.646651451355e+02;5.820775633851e+02;6.032762561721e-03;2.077854022928e+01;1.007852674681e+02
3.400000000000e+02;3.400000000000e+02;2.026500000000e-01;4.979618076822e-01;2.008186139123e+00;2.801339503682e+01;6.766673097238e+00;4.347054646532e+01;-5.744208338580e+01;1.038493003354e+00;7.416917770453e-01;1.400167880371e+00;3.758913738528e+02;1.038493003347e+00;7.416911142038e-01;1.400169131830e+00;3.758906914011e+02;1.163882244463e+03;1.206269691932e-02;4.154733932378e+01;1.007852674681e+02
3.600000000000e+02;3.600000000000e+02;2.026500000000e-01;5.272537082088e-01;1.896620136437e+00;2.801339366771e+01;6.826048896910e+00;6.424648323454e+01;-4.260218366664e+01;1.039213860930e+00;7.424126201152e-01;1.399779358234e+00;3.867353748243e+02;1.039213860920e+00;7.424119572737e-01;1.399780608135e+00;3.867346738810e+02;1.745886876079e+03;1.809470360232e-02;6.232327609301e+01;1.007852674681e+02
3.800000000000e+02;3.800000000000e+02;2.026500000000e-01;5.565456085630e-01;1.796797934642e+00;2.801339244123e+01;6.882269567863e+00;8.504318046959e+01;-2.774152348166e+01;1.040548806436e+00;7.437475526266e-01;1.399061822470e+00;3.972309846485e+02;1.040548806422e+00;7.437468897851e-01;1.399063069493e+00;3.972302655456e+02;2.328473078934e+03;2.413273780023e-02;8.311997332806e+01;1.007852674681e+02
4.000000000000e+02;4.000000000000e+02;2.026500000000e-01;5.858375523074e-01;1.706957835088e+00;2.801339133525e+01;6.935687620337e+00;1.058717982041e+02;-1.284894279721e+01;1.042390286585e+00;7.455890210580e-01;1.398076228518e+00;4.074068207220e+02;1.042390286568e+00;7.455883582164e-01;1.398077471588e+00;4.074060989118e+02;2.911953483515e+03;3.018003967489e-02;1.039485910626e+02;1.007852674681e+02
4.200000000000e+02;4.200000000000e+02;2.026500000000e-01;6.151294905551e-01;1.625673968415e+00;2.801339033194e+01;6.986599243580e+00;1.267415960796e+02;2.084818028205e+00;1.044654558879e+00;7.478532827221e-01;1.396870994637e+00;4.172877896736e+02;1.044654558858e+00;7.478526198805e-01;1.396872232881e+00;4.172870628892e+02;3.496587483866e+03;3.623929763548e-02;1.248183889381e+02;1.007852674681e+02
4.400000000000e+02;4.400000000000e+02;2.026500000000e-01;6.444214244487e-01;1.551779568557e+00;2.801338941684e+01;7.035255815637e+00;1.476603423383e+02;1.706752723683e+01;1.047275350540e+00;7.504740646877e-01;1.395485067130e+00;4.268957430301e+02;1.047275350516e+00;7.504734018461e-01;1.395486299829e+00;4.268950095634e+02;4.082592694865e+03;4.231276708401e-02;1.457371351967e+02;1.007852674681e+02
4.600000000000e+02;4.600000000000e+02;2.026500000000e-01;6.737123903339e-01;1.484312912079e+00;2.801338857804e+01;7.081872102048e+00;1.686346161221e+02;3.210576397063e+01;1.050199403576e+00;7.533981088370e-01;1.393950145691e+00;4.362499922061e+02;1.050199403549e+00;7.533974459954e-01;1.393951372260e+00;4.362489384825e+02;4.670153420651e+03;4.840235818359e-02;1.667114089806e+02;1.007852674681e+02
4.800000000000e+02;4.800000000000e+02;2.026500000000e-01;7.030043184987e-01;1.422466368536e+00;2.801338780570e+01;7.126634621495e+00;1.896700341979e+02;4.720514499629e+01;1.053383291028e+00;7.565819881060e-01;1.392292319389e+00;4.453677174346e+02;1.053383290997e+00;7.565813252644e-01;1.392293539349e+00;4.453666616830e+02;5.259427005956e+03;5.450970168497e-02;1.877468270563e+02;1.007852674681e+02
