"";"Temperature (K)";"Pressure (MPa)";"Volume (m3/kg)";"Density (kg/m3)";"mol_mass (g/mol)";"Entropy (kJ/kg/K)";"Enthalpy (kJ/kg)";"Internal energy (kJ/kg)";"Cp(fr) (kJ/kg/K)";"Cv(fr) (kJ/kg/K)";"gamma(fr)";"Sound speed(fr) (m/s)";"Cp(eq) (kJ/kg/K)";"Cv(eq) (kJ/kg/K)";"gamma(eq)";"Sound speed(eq) (m/s)";"Energy Input (J/mol) ";"Energy Input (eV/molecule)";"Energy Input (kJ/kg)";"Flow rate (kg/h)"
5.600000000000e+02;5.600000000000e+02;1.013250000000e-02;1.640339328972e+01;6.096299603002e-02;2.801338523424e+01;8.179221193819e+00;2.745104171171e+02;1.083013797152e+02;1.068079036788e+00;7.712777066216e-01;1.384817722098e+00;4.797591223688e+02;1.068079035878e+00;7.712770437798e-01;1.384818915888e+00;4.797573629007e+02;7.636094607305e+03;7.914193668076e-02;2.725872099755e+02;1.007852674681e+02
5.800000000000e+02;5.800000000000e+02;1.013250000000e-02;1.698923023653e+01;5.886081865262e-02;2.801338469328e+01;8.216771690516e+00;2.959122259542e+02;1.237671515023e+02;1.072122632794e+00;7.753212968953e-01;1.382810761277e+00;4.878971685920e+02;1.072122631812e+00;7.753206340535e-01;1.382811947224e+00;4.878953946281e+02;8.235632043646e+03;8.535565668617e-02;2.939890188127e+02;1.007852674681e+02
6.000000000000e+02;6.000000000000e+02;1.013250000000e-02;1.757506712934e+01;5.689878693723e-02;2.801338418468e+01;8.253188043191e+00;3.173960375490e+02;1.393149260470e+02;1.076276726959e+00;7.794753856723e-01;1.380770639769e+00;4.958717039074e+02;1.076276725906e+00;7.794747228305e-01;1.380771817761e+00;4.958699146232e+02;8.837466656053e+03;9.159318506119e-02;3.154728304074e+02;1.007852674681e+02
6.200000000000e+02;6.200000000000e+02;1.013250000000e-02;1.816090397507e+01;5.506333833232e-02;2.801338370522e+01;8.288548018930e+00;3.389639099103e+02;1.549467613583e+02;1.080526401193e+00;7.837250548259e-01;1.378705956303e+00;5.036914791084e+02;1.080526400067e+00;7.837243919841e-01;1.378707126262e+00;5.036896738290e+02;9.441656096360e+03;9.785511932038e-02;3.370407027688e+02;1.007852674681e+02
6.400000000000e+02;6.400000000000e+02;1.013250000000e-02;1.874674077952e+01;5.334260561668e-02;2.801338325210e+01;8.322921526814e+00;3.606176183782e+02;1.706644327761e+02;1.084858256151e+00;7.880569049829e-01;1.376624263160e+00;5.113645690385e+02;1.084858254952e+00;7.880562421411e-01;1.376625425038e+00;5.113627472117e+02;1.004825009787e+04;1.041419749092e-01;3.586944112367e+02;1.007852674681e+02
6.600000000000e+02;6.600000000000e+02;1.013250000000e-02;1.933257754760e+01;5.172616002898e-02;2.801338282287e+01;8.356371627893e+00;3.823586831755e+02;1.864694605233e+02;1.089260139379e+00;7.924587836632e-01;1.374532230362e+00;5.188984480939e+02;1.089260138108e+00;7.924581208214e-01;1.374533384138e+00;5.188966092686e+02;1.065729124720e+04;1.104541932033e-01;3.804354760339e+02;1.007852674681e+02
6.800000000000e+02;6.800000000000e+02;1.013250000000e-02;1.991841428350e+01;5.020479972787e-02;2.801338241535e+01;8.388955387090e+00;4.041883920984e+02;2.023631323961e+02;1.093720928578e+00;7.969195685453e-01;1.372435778650e+00;5.263000549589e+02;1.093720927234e+00;7.969189057035e-01;1.372436924327e+00;5.262981987677e+02;1.126881561989e+04;1.167921480967e-01;4.022651849568e+02;1.007852674681e+02
7.000000000000e+02;7.000000000000e+02;1.013250000000e-02;2.050425099079e+01;4.877037451643e-02;2.801338202766e+01;8.420724595935e+00;4.261078193169e+02;2.183465225646e+02;1.098230357584e+00;8.014289934432e-01;1.370340188050e+00;5.335758484086e+02;1.098230356166e+00;8.014283306014e-01;1.370341325651e+00;5.335739745538e+02;1.188285330711e+04;1.231561514597e-01;4.241846121754e+02;1.007852674681e+02
7.200000000000e+02;7.200000000000e+02;1.013250000000e-02;2.109008767256e+01;4.741563977950e-02;2.801338165810e+01;8.451726389044e+00;4.481178410421e+02;2.344205072398e+02;1.102778875695e+00;8.059775076386e-01;1.368250187187e+00;5.407318556623e+02;1.102778874204e+00;8.059768447967e-01;1.368251316752e+00;5.407299639046e+02;1.249942885450e+04;1.295464576882e-01;4.461946339006e+02;1.007852674681e+02
7.400000000000e+02;7.400000000000e+02;1.013250000000e-02;2.167592433145e+01;4.613413410700e-02;2.801338130518e+01;8.482003772633e+00;4.702191486522e+02;2.505857777998e+02;1.107357533253e+00;8.105561614579e-01;1.366170027332e+00;5.477737144854e+02;1.107357531688e+00;8.105554986160e-01;1.366171148921e+00;5.477718046345e+02;1.311856162992e+04;1.359632675144e-01;4.682959415107e+02;1.007852674681e+02
7.600000000000e+02;7.600000000000e+02;1.013250000000e-02;2.226176096977e+01;4.492007624005e-02;2.801338096756e+01;8.511596079767e+00;4.924122597468e+02;2.668428518443e+02;1.111957888015e+00;8.151565126426e-01;1.364103544251e+00;5.547067100223e+02;1.111957886376e+00;8.151558498007e-01;1.364104657935e+00;5.547047819290e+02;1.374026613309e+04;1.424067312159e-01;4.904890526053e+02;1.007852674681e+02
7.800000000000e+02;7.800000000000e+02;1.013250000000e-02;2.284759758956e+01;4.376827787168e-02;2.801338064406e+01;8.540539364260e+00;5.146975274998e+02;2.831920825472e+02;1.116571928105e+00;8.197705493051e-01;1.362054210232e+00;5.615358071623e+02;1.116571926391e+00;8.197698864632e-01;1.362055316096e+00;5.615338607124e+02;1.436455225762e+04;1.488769513322e-01;5.127743203582e+02;1.007852674681e+02
