"T";"S2"
1.300000000000e+03;1.241972193349e+22
1.305000000000e+03;1.237213689982e+22
1.310000000000e+03;1.232491553183e+22
1.315000000000e+03;1.227805220001e+22
1.320000000000e+03;1.223154465256e+22
1.325000000000e+03;1.218538725998e+22
1.330000000000e+03;1.213957777047e+22
1.335000000000e+03;1.209411168043e+22
1.340000000000e+03;1.204898448626e+22
1.345000000000e+03;1.200419281027e+22
1.350000000000e+03;1.195973214885e+22
1.355000000000e+03;1.191560025020e+22
1.360000000000e+03;1.187179261072e+22
1.365000000000e+03;1.182830697862e+22
1.370000000000e+03;1.178513772439e+22
1.375000000000e+03;1.174228259624e+22
1.380000000000e+03;1.169973821646e+22
1.385000000000e+03;1.165750120735e+22
1.390000000000e+03;1.161556706532e+22
1.395000000000e+03;1.157393466447e+22
1.400000000000e+03;1.153259950119e+22
1.405000000000e+03;1.149155819778e+22
1.410000000000e+03;1.145080737656e+22
1.415000000000e+03;1.141034478570e+22
1.420000000000e+03;1.137016817343e+22
1.425000000000e+03;1.133027303613e+22
1.430000000000e+03;1.129065599611e+22
1.435000000000e+03;1.125131592746e+22
1.440000000000e+03;1.121224945249e+22
1.445000000000e+03;1.117345206760e+22
1.450000000000e+03;1.113492264689e+22
1.455000000000e+03;1.109665893856e+22
1.460000000000e+03;1.105865643900e+22
1.465000000000e+03;1.102091402233e+22
1.470000000000e+03;1.098342718493e+22
1.475000000000e+03;1.094619592681e+22
1.480000000000e+03;1.090921574437e+22
1.485000000000e+03;1.087248438581e+22
1.490000000000e+03;1.083599959933e+22
1.495000000000e+03;1.079975800722e+22
1.500000000000e+03;1.076375960950e+22
